65;02_COLUMNAS;[dbo].[WF_DocTipo].[MotorExtraccion];"column_id=11; type=nvarchar(30); nullable=NO; identity=NO; default=('REGLAS')"
66;02_COLUMNAS;[dbo].[WF_DocTipoReglaExtract].[Id];"column_id=1; type=int; nullable=NO; identity=SI"
67;02_COLUMNAS;[dbo].[WF_DocTipoReglaExtract].[DocTipoId];"column_id=2; type=int; nullable=NO; identity=NO"
68;02_COLUMNAS;[dbo].[WF_DocTipoReglaExtract].[Campo];"column_id=3; type=nvarchar(100); nullable=NO; identity=NO"
69;02_COLUMNAS;[dbo].[WF_DocTipoReglaExtract].[Regex];"column_id=4; type=nvarchar(1000); nullable=NO; identity=NO"
70;02_COLUMNAS;[dbo].[WF_DocTipoReglaExtract].[Grupo];"column_id=5; type=int; nullable=NO; identity=NO; default=((1))"
71;02_COLUMNAS;[dbo].[WF_DocTipoReglaExtract].[Orden];"column_id=6; type=int; nullable=NO; identity=NO; default=((1))"
72;02_COLUMNAS;[dbo].[WF_DocTipoReglaExtract].[Activo];"column_id=7; type=bit; nullable=NO; identity=NO; default=((1))"
73;02_COLUMNAS;[dbo].[WF_DocTipoReglaExtract].[CreatedAt];"column_id=8; type=datetime; nullable=NO; identity=NO; default=(getdate())"
74;02_COLUMNAS;[dbo].[WF_DocTipoReglaExtract].[UpdatedAt];"column_id=9; type=datetime; nullable=SI; identity=NO"
75;02_COLUMNAS;[dbo].[WF_DocTipoReglaExtract].[TipoDato];"column_id=10; type=nvarchar(30); nullable=SI; identity=NO"
76;02_COLUMNAS;[dbo].[WF_DocTipoReglaExtract].[Ejemplo];"column_id=11; type=nvarchar(500); nullable=SI; identity=NO"
77;02_COLUMNAS;[dbo].[WF_DocTipoReglaExtract].[HintLabel];"column_id=12; type=nvarchar(100); nullable=SI; identity=NO"
78;02_COLUMNAS;[dbo].[WF_DocTipoReglaExtract].[HintContext];"column_id=13; type=nvarchar(500); nullable=SI; identity=NO"
79;02_COLUMNAS;[dbo].[WF_DocTipoReglaExtract].[Modo];"column_id=14; type=nvarchar(20); nullable=SI; identity=NO"
80;02_COLUMNAS;[dbo].[WF_DocumentoPlantilla].[Id];"column_id=1; type=int; nullable=NO; identity=SI"
81;02_COLUMNAS;[dbo].[WF_DocumentoPlantilla].[DocumentoTipoId];"column_id=2; type=int; nullable=NO; identity=NO"
82;02_COLUMNAS;[dbo].[WF_DocumentoPlantilla].[Version];"column_id=3; type=int; nullable=NO; identity=NO; default=((1))"
83;02_COLUMNAS;[dbo].[WF_DocumentoPlantilla].[RegexPattern];"column_id=4; type=nvarchar(MAX); nullable=SI; identity=NO"
84;02_COLUMNAS;[dbo].[WF_DocumentoPlantilla].[RegexOptions];"column_id=5; type=varchar(200); nullable=SI; identity=NO"
85;02_COLUMNAS;[dbo].[WF_DocumentoPlantilla].[CamposJson];"column_id=6; type=nvarchar(MAX); nullable=SI; identity=NO"
